person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,person_home_ownership,loan_intent,loan_grade,cb_person_default_on_file,loan_status
56,81788,2,23010,14.712937306685543,0.3155768481423848,26,829,MORTGAGE,EDUCATION,F,N,1
69,102879,16,25123,15.91847066618,0.24021615628722776,27,477,OWN,EDUCATION,A,N,1
46,58827,1,23387,23.5241040376869,0.14039473106310274,29,305,MORTGAGE,VENTURE,F,N,1
32,127188,23,3890,22.42630494493707,0.18756596111471985,15,606,OWN,VENTURE,B,N,1
60,25655,0,28769,20.70167314479514,0.28602525839853943,14,847,RENT,MEDICAL,D,N,1
25,64859,7,44626,10.47396915356742,0.3433406421414226,21,626,RENT,EDUCATION,B,Y,1
38,73625,12,9026,23.236372573721834,0.40076735759803783,29,655,OWN,VENTURE,D,N,1
56,72098,22,4306,6.9501538492775055,0.39522682330207737,1,694,OWN,EDUCATION,B,Y,1
36,35251,14,34665,22.066584331175754,0.4877099344674884,28,599,OWN,PERSONAL,D,N,1
40,142413,7,10277,11.563201447072156,0.17862865189853427,11,825,OWN,VENTURE,A,N,0
28,20526,11,43239,6.075446233239667,0.08199981869604656,28,584,MORTGAGE,MEDICAL,C,Y,1
28,88760,21,48664,18.387139684814965,0.20554562099383666,25,629,OWN,VENTURE,C,N,1
41,67837,11,49008,9.625598566319109,0.3844825138508345,3,349,OWN,EDUCATION,E,N,1
53,145133,13,15683,9.871422517292638,0.24715024296498284,19,677,OWN,HOMEIMPROVEMENT,D,N,0
57,149478,14,1670,11.12094332457543,0.41800479376523875,18,837,MORTGAGE,HOMEIMPROVEMENT,E,N,0
41,31536,14,24675,6.2736953500503345,0.29719686433370673,20,443,MORTGAGE,EDUCATION,F,N,1
20,48541,8,18889,8.54254288396508,0.46840627518372635,28,359,MORTGAGE,PERSONAL,F,N,1
39,99083,18,45535,5.102792551711206,0.47653854889958097,2,374,RENT,VENTURE,E,N,1
19,71027,25,14006,13.908190422115736,0.08118702770843693,29,302,MORTGAGE,HOMEIMPROVEMENT,D,N,1
41,54531,19,49536,6.685107548359426,0.25538604787059094,25,747,OWN,PERSONAL,C,Y,1
61,28712,28,27531,18.65305210088398,0.3243600775623056,28,574,MORTGAGE,EDUCATION,D,Y,1
47,124101,21,22639,9.712457023832968,0.16514264336549575,26,829,MORTGAGE,PERSONAL,F,N,0
55,85455,7,17633,23.871482880703542,0.23318455072054112,7,514,OWN,EDUCATION,A,N,1
19,94744,20,35660,22.425032547973053,0.3549566935029642,8,784,MORTGAGE,VENTURE,E,N,1
38,141787,18,4439,10.788817899364165,0.15203040210426266,19,628,RENT,PERSONAL,E,N,0
50,149749,5,33172,20.664309093133575,0.3208916088385036,22,554,MORTGAGE,VENTURE,F,Y,1
29,25109,19,36622,21.064898093296126,0.3638515226739377,15,686,RENT,PERSONAL,D,N,1
39,141332,24,12577,24.73126228228821,0.09072333999314004,10,425,RENT,EDUCATION,E,N,1
61,69268,28,12763,16.9567997369137,0.2738881922123538,22,849,RENT,EDUCATION,C,Y,1
42,120737,18,21176,6.639314692873244,0.16838601346588586,29,623,OWN,PERSONAL,E,N,0
66,74615,3,45386,17.93674457852762,0.37597386019912005,1,503,MORTGAGE,EDUCATION,D,N,1
44,102503,22,25255,17.499594967520704,0.1352999788416232,6,471,RENT,MEDICAL,F,Y,1
59,143274,6,42003,17.767011548408636,0.45150706199214785,13,516,RENT,MEDICAL,C,N,1
45,49759,27,20996,11.14291296208423,0.2439236014332471,14,544,MORTGAGE,VENTURE,C,N,1
